Address;Text;Stars;Date
Стремянная, 1;Цены не соответствуют действительности;1;14 апреля 2021
Стремянная, 1;Аромат хлеба .. успокаивает. Очень приятное и уютное чувство. Нет шу пуэра и bcaa;5;9 апреля 2021, отредактирован
Стремянная, 1;Нормальный магаз, работники приятные, выпечка готовится в духовке в зале это прикольно. Все свежее.;5;28 февраля 2021
Стремянная, 1;В целом хороший магазин. Большой ассортимент товаров. Много фруктов и овощей. Правда, чуть не положил к себе в пакет гнилые помидоры. Хорошо, вовремя заметил. А на второй вид помидоров ценника совсем не было. Еще есть свежевыпеченный хлеб. Мне понравилась чиабатта. Заметил, что много готовых блюд и сэндвичей. В следующий раз возьму что-нибудь попробовать. Ну и различной кисломолочной продукции много.Понравилось, что есть кассы самообслуживания, где можно пробить не только расфасованный товар и товары со штрих-кодами, но также взвесить и пробить весовой товар. Здесь же можно отсканировать свою бонусным карту.Супер.;4;21 февраля 2021
Стремянная, 1;Закрыто на ремонт. На месяц;1;22 января 2021
Стремянная, 1;парковаться сложно, так все нормально.;3;1 декабря 2020
Стремянная, 1;Первый раз зашёл со своим пивом в рюкзаке купил продукты на кассе маску попросили надеть через полчаса пошёл опять со своим пивом купил торт сливки после расчёта кассы на выходе содрудниик попросил открыть рюкзак,??? Пришла директор спросила вы купили я да но не у вас на что смотрит глав директор у меня есть фото в магазине сотрудников нет иуборщиц;1;13 октября 2020
Стремянная, 1;Проверяйте внимательно чеки в данном магазине. Сегодня кассир Улкар Байрамова дважды пробила одну и ту же позицию. Поздно было уже, не было желания возвращаться ... но думаю, что администрация должна в этом разобраться;1;22 сентября 2020
Стремянная, 1;Большрй плюс : расположение магазина, недалеко Невский, продукты эконом класса больше купить особо негде. Минусы: теснота в магазине, неудобно расположены продукты, надо искать. Ценник не всегда соответствует реальности.;3;28 августа 2020
Стремянная, 1;"На кассе кассир седая в возрасте нахамила. Данная сотрудница не поинтересовалась нужен ли нам пакет и выдала фразу, пробивая продукты, ""чё встали?!""";1;22 июля 2020
Стремянная, 1;27.06.2020, режим работы в 2 гис не совпадает с реальным. Сейчас он работает с 8:00 до 23:00;1;27 июня 2020
Стремянная, 1;Прямо сейчас поверхность морозильников с мясом заставлена коробками с конфетами так, что открыть и достать товар невозможно. Мимо прошла работница, и вместо того чтобы убрать коробки, проходя мимо умудрилась толкнуть меня два раза так, что чуть руку не сломала. Конечно, ведь раскладка товара важнее, чем прибыль магазина. Извините что пришла именно к вам тратить деньги;1;14 марта 2020
Стремянная, 1;грязно. очень грязный пол, постоянно пропавшие гнилые овощи, постоянно коробки на проходе. только персонал более-менее норм;2;19 сентября 2019
Стремянная, 1;Магазин спокойный, но временами в нем не очень чистый пол и порядок, но что странно, ни разу не видел неправильных ценников;3;18 сентября 2019
Стремянная, 1;Грязная Пятерочка, в которой постоянно пахнет подпорченными овощами-фруктами. В обеденное время очереди из офисных сотрудников.;2;18 сентября 2019
Стремянная, 1;Сервис оставляет желать дувшего. Цене кт не соответствуют порой.;3;9 сентября 2019
Стремянная, 1;На*бывают. Пробивают товары, которые ты даже не брал. Не первый раз уже такое.;2;30 июля 2019
Стремянная, 1;Купила упаковку в которой котлета с пюре (уже не помню как точно называется). Когда через пол часа пришла к себе и открыла - офигела. Котлета была в плесени, которую упаковка умело скрывала. В общем, ужасно разочарована;1;24 июня 2019
Стремянная, 1;Ценники не соответствуют продуктам;1;18 марта 2019
Стремянная, 1;Маг.367 в спб на ул.доблести-самый ужасный.отработанные смены не оплачивают в полном размере.с документами вообще не понятно.полный бардак!!!!директора никогда не берут телефон-не дозвониться!!!ОБМАНЫВАЮТ!!!!за декабрь не могу до сих пор получить зарплату. (Наверно себе заплатили)!!!ДОКУМЕНТЫ ЖДУ УЖЕ МЕСЯЦ!!!!ВООБЩЕ ОБНАГЛЕЛИ!!КАК БУДТО ЛЮДИ НЕ ХОТЯТ КУШАТЬ!!;3;28 января 2019
Стремянная, 1;Часто нет нужного товара, + не понял с какого рожна закрыли магазин пару минут назад? Вроде написано круглосуточно.;2;4 ноября 2018
Стремянная, 1;Людей там всегда полно. Очень узкие проходы, какие-то ящики стоят на полу. К вечеру на полках такой беспорядок. Ценников половины нет, а там, где есть, не всегда правильные;3;2 ноября 2018
Стремянная, 1;Очень нравятся в этом магазине еженедельные скидки. Каждый раз беру буклет и запасаюсь:) И скидки не слабые. Единственный минус, не всегда девочки успевают менять ценники и потом возникают проблемы.;4;16 сентября 2018
Стремянная, 1;Попросил товарный чек. Сказали,что нет ручки и не могут написать. Очень разачарован этой сетью;1;22 июня 2018
Стремянная, 1;Самый обычный продуктовый магазин. Там всегда очень много людей. Узкие проходы. И постоянно стоят коробки в проходах, будто товар только-только привезли. Ценники могут не соответствовать действительности. На полках частенько царит хаос: товары не на своих местах, вскрытые упаковки, какие-то бумажки. Длинные очереди на кассах. Через полгода посещений этого магазина обнаружила, что есть ещё помещение с хозтоварами 😳Из плюсов: демократичные цены и то, что магазин в шаговой доступности от офиса.;3;6 апреля 2018, отредактирован
Стремянная, 1;На кассе обвешивают,а контрольные весы выключены.Думаю походить ,пофоткать всё это безобразие и обращусь-ка в Роспотребнадзор.;1;14 января 2018
Стремянная, 1;Небольшая Пятерочка в центре города. Полный набор всех плохих сторон этого магазина.1. Постоянная путаница в ценниках. Если на огромном ценнике написано, что вафли в шоколаде стоят 35 рублей, а под ценой стоит целый прилавок с такими вафлями, значит гарантировано это не они. А на кассе вам скажут, что надо было по штрихкоду смотреть. В ценниках на мороженое вообще не реально разобраться. Даже если очень захотеть.2. Персонал грубый. Хамит постоянно. Что-то не так? Ваши проблемы. Если магазин вдруг не принимает карты, то вы узнаете об этом на кассе, отстояв огромную очередь.3. Постоянные очереди на кассе. Даже при пустом магазине в 7 утра. Можно просто не спешить при работе.Сегодня покупал себе 2 груши сезонные. По 90 рублей. Гадал как пробьют, как сезонные или как сортовые по 120. Кассира недооценил. Смотрите фото. Т.к. отстоял очередь и потерял много времени, то не стал перебивать чек.Было бы 2 звезды, но остальные продуктовые рядом не лучше;3;1 июля 2016
Стремянная, 1;Все чаще Пятёрочки стали выходить в центр — это одна из новых. Конечно, помещения центра не очень рассчитаны под супермаркеты со своими лабиринтами, но все же магазинов в центре такого формата не хватает. Этот магазин чистый, так как новый, ассортимент обычный, очень быстро работают банковские терминалы оплаты, но сотрудники никакие — лишнего слова не произнесут и первыми здороваться не будут, это немного удивляет, хотя, может Пятёрочка готова меняться только внешне.Это заметно, но все равно это не тот магазин, куда мне будет приятно зайти, даже если здесь все выглядит свежим, общее отношение какое-то очень потребительское, и это чувствуется.;4;11 апреля 2016
Караванная, 1 лит А;Объясните своему персоналу,что алкоголь продается до 23:00. Продавщица с пеной у рта доказывала нам,что можно купить только до 22:00. Она в каком году уснула и только проснулась?;1;30 августа 2023
Караванная, 1 лит А;Всегда была и будет днищем с хамящим персоналом и ОДНОЙ работающей кассой.;1;23 мая 2023
Караванная, 1 лит А;Приличный выбор, цены не ломят;5;20 мая 2023, отредактирован
Караванная, 1 лит А;Отличный магазин, чистый и просторный, конечно не гипермаркет, но для стандартной пятерочки, даже больше и выбор хороший. Часто бываю в этой сети в разных городах, этот один из лучших!;5;12 мая 2023
Караванная, 1 лит А;Сюда прихожу, потому что мне близко от дому. Некоторые товары оставляют желать лучшего. Но к девочкам-продавцам и кассирам у меня нет претензий.;4;1 апреля 2023
Караванная, 1 лит А;Хороший магазин. Уважают тут покупателей. Готовы решить любые вопросы. Здороваются. Вежливо общаются. Богатый ассортимент различной продукции. Есть свое собственное кулинарное производство. Все удобно расположено. Нет узких проходов. Везде чистота и порядок. Нет духоты. Качество товаров приличное. Много заманчивых временных акций. Интересная программа лояльности. Средний уровень цен. Что-то можно купить по низким ценам.;4;22 марта 2023
Караванная, 1 лит А;На удивление, много свежих продуктов. Даже готовые всякие обеды.Маленький, в меру тесный магазин.С игристым вином беда: какие-то напитки и прочие санты стефаны. Отрыл брют французский... Ну и ладно.Основное, что удивило - бабушка кассир. Понимаю, что в Питере не принято упаковывать покупку клиента в пакет, но не здороваться, кидать пакет и накладывать сверху на него товары, что ты и пакет вытащить не можешь - странно.Бабушка очень вежливо общалась со своей знакомой, потом проигнорировала покупателя передо мной (он то, что-то попросил подать из-за кассы, то просто поздоровался - кассир не слышит ничего, тк беседа с подругой важнее).Полное ощущение что здесь должен покупатель, как минимум обязан кланяться сотрудникам.;3;16 марта 2023
Караванная, 1 лит А;Вкусные полуфабрикаты и выпечка;4;26 февраля 2023
Караванная, 1 лит А;"Магазин в целом неплохой, есть многое. Но в самом магазине какие-то ""закаулки"". Хлебный отдел долго искала";3;1 февраля 2023, отредактирован
Караванная, 1 лит А;Приятный ассортимент;5;29 октября 2022
Караванная, 1 лит А;Хорошие акции, но которых можно купить качественные продукты, а не неликвид с истекшими сроками.;4;24 сентября 2022
Караванная, 1 лит А;Пишу отзыв с благодарностью.Нас очень выручило удачное расположение магазина в центре города. Можно было по обычной цене (а то и по скидкам) в жару купить мороженное и воду, в то время как в парках и на улицах неподалеку на эти товары цены просто запредельные!;5;28 августа 2022
Караванная, 1 лит А;Частые акции, можно очень выгодно закупиться;5;21 августа 2022
Караванная, 1 лит А;Очень удобное расположение в историческом центре Питера.;5;15 августа 2022
